Color,Species,Total Length (cm),Total Weight (g),Defect,Image,Defect_List,num_defects,is_skinless,is_headless,weight_per_cm,Color_encoded,Species_encoded,Total Weight (g)_zscore,Total Weight (g)_is_outlier,Total Length (cm)_zscore,Total Length (cm)_is_outlier,weight_per_cm_zscore,weight_per_cm_is_outlier,PCA1,PCA2
Medium,Loligo,7.1,15.0,"['Skinless', 'Headless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/67a80077-dfa4-4516-8584-e89b8085a296.jpg,"['Skinless', 'Headless']",2,False,False,2.1126760563380285,2,0,1.283598354570461,False,1.3396875527907468,False,1.4841029679269786,False,-36.10747280944994,0.27164810520996224
Dark,Loligo,10.1,38.0,['Headless'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/a6d22880-89a2-4ae9-b35c-253a7973beef.jpg,['Headless'],1,False,False,3.7623762376237626,0,0,0.46054667074944294,False,0.16029596756858186,False,0.48832492315514964,False,-12.88616374073644,-0.616949314103093
Medium,Loligo,9.3,40.0,"['Whole', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/610d3a5e-cd00-4e12-bf43-2e2c75ad7faf.jpg,"['Whole', 'Skinless']",2,False,False,4.301075268817204,2,0,0.38897695911283264,False,0.4748003902944921,False,0.16315997858673237,False,-10.930413175734703,0.43431224229639437
Dark,Loligo,12.0,77.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/7e4a52df-9749-4365-8c05-7cf53f79ace9.jpg,['Whole'],1,False,False,6.416666666666667,0,0,0.9350627061644574,False,0.5866520364054562,False,1.1138353746202743,False,26.227081236162306,0.7280698643000219
Dark,Loligo,10.0,29.0,"['Skinless', 'Headless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/ad034d43-94a2-4e72-905a-a74a8270d4a5.jpg,"['Skinless', 'Headless']",2,False,False,2.9,0,0,0.7826103731141891,False,0.19960902040932055,False,1.0088651604056542,False,-21.89866996398859,-1.3374708734422422
Dark,Loligo,9.0,46.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/499140b1-5b36-4959-b10d-82d1d2534ed6.jpg,['Whole'],1,False,False,5.111111111111111,0,0,0.17426782420300183,False,0.5927395488167089,False,0.32578699273861006,False,-4.9387431556453425,1.344582073498951
Dark,Loligo,8.2,21.0,"['Headless', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/af144238-8d06-4c43-9794-b307c17662cd.jpg,"['Headless', 'Skinless']",2,False,False,2.5609756097560976,0,0,1.0688892196606303,False,0.9072439715426198,False,1.2135041901376649,False,-30.0234472574831,-0.24267287563344547
Medium,Loligo,9.5,42.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/9024836d-abf9-43bb-bc8f-2c0c20c10946.jpg,['Whole'],1,False,False,4.421052631578948,2,0,0.3174072474762224,False,0.39617428461301474,False,0.09074025949895416,False,-8.917284681015916,0.40311524639213914
Medium,Loligo,13.5,74.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/a88069e0-007a-4344-be0a-b81c00f4c549.jpg,['Whole'],1,False,False,5.481481481481482,2,0,0.827708138709542,False,1.1763478290165386,False,0.549346817385891,False,23.310587324609376,-1.1741752798999148
Medium,Loligo,11.5,97.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/d4402c50-db89-4631-a819-eb3b4780765c.jpg,['Whole'],1,False,False,8.434782608695652,2,0,1.6507598225305602,False,0.3900867722017619,False,2.3319934191385534,False,46.202681277734136,3.029781142507111
