color,species,total_length_(cm),total_weight_(g),defect,image
Medium,Loligo,7.1,15.0,"['Skinless', 'Headless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/67a80077-dfa4-4516-8584-e89b8085a296.jpg
Dark,Loligo,10.1,38.0,['Headless'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/a6d22880-89a2-4ae9-b35c-253a7973beef.jpg
Medium,Loligo,9.3,40.0,"['Whole', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/610d3a5e-cd00-4e12-bf43-2e2c75ad7faf.jpg
Dark,Loligo,12.0,77.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/7e4a52df-9749-4365-8c05-7cf53f79ace9.jpg
Dark,Loligo,10.0,29.0,"['Skinless', 'Headless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/ad034d43-94a2-4e72-905a-a74a8270d4a5.jpg
Dark,Loligo,9.0,46.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/499140b1-5b36-4959-b10d-82d1d2534ed6.jpg
Dark,Loligo,8.2,21.0,"['Headless', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/af144238-8d06-4c43-9794-b307c17662cd.jpg
Medium,Loligo,9.5,42.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/9024836d-abf9-43bb-bc8f-2c0c20c10946.jpg
Medium,Loligo,13.5,74.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/a88069e0-007a-4344-be0a-b81c00f4c549.jpg
Medium,Loligo,11.5,97.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/d4402c50-db89-4631-a819-eb3b4780765c.jpg
Medium,Loligo,10.2,50.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/fd289c47-fc69-4f41-92d7-8982bdfceb2a.jpg
Medium,Loligo,8.5,36.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/590482db-72db-4d1f-ab55-0e61281a1ec2.jpg
Medium,Loligo,7.7,18.0,['Partial Tube'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/8e0d465f-4ed1-4490-85fc-d9ee16832f5c.jpg
Medium,Loligo,11.0,76.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/49f22213-69b3-453e-8a09-f555f65282f3.jpg
Dark,Loligo,10.0,50.0,"['Whole', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/23c988aa-2a10-49a3-9856-c664ec3ba171.jpg
Medium,Loligo,12.5,71.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/15fe7f15-9c74-4ba5-993b-1ff4d35d7ee7.jpg
Medium,Loligo,10.5,54.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/d9a958df-6cd1-4ad9-9ae0-b975be5f64c6.jpg
Medium,Loligo,8.5,38.0,"['Whole', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/3c40d61e-1a0e-42bf-a2e7-d2ce36a294ec.jpg
Dark,Loligo,8.5,33.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/8532bf1a-9733-440f-9a55-6f85552d5512.jpg
Medium,Loligo,9.0,44.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/b6352188-957a-4796-87c0-c5bbde5f5a34.jpg
Medium,Loligo,9.2,39.0,"['Whole', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/8423fb4c-f612-4c98-aae0-4fd774236a79.jpg
Medium,Loligo,11.5,70.0,"['Whole', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/3cc82be0-5da9-4975-83a8-3d8f3c0527cb.jpg
Medium,Loligo,9.0,42.0,"['Whole', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/5d695d1f-134e-40b7-9632-e5a0bb2fa4f6.jpg
Medium,Loligo,8.0,30.0,"['Whole', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/94028c9e-1d68-4db6-a206-d0dfc72460df.jpg
Dark,Loligo,9.5,50.0,"['Whole', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/4484bcc5-b4d1-4bf9-afe2-486c459ee71a.jpg
